"","date","state","fips","cases","deaths","state_pop","cases_per_capita","seven_day_avg","seven_day_avg_percapita"
"128",2020-02-16,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"129",2020-02-16,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"130",2020-02-17,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"131",2020-02-17,"California",6,7,0,39512223,1.77160368830678e-07,7,1.77160368830678e-07
"132",2020-02-17,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"133",2020-02-17,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"134",2020-02-17,"Nebraska",31,10,0,1934408,5.16954024176906e-06,NA,NA
"135",2020-02-17,"Texas",48,2,0,28995881,6.89753141144427e-08,NA,NA
"136",2020-02-17,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"137",2020-02-17,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"138",2020-02-18,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"139",2020-02-18,"California",6,7,0,39512223,1.77160368830678e-07,7,1.77160368830678e-07
"140",2020-02-18,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"141",2020-02-18,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"142",2020-02-18,"Nebraska",31,10,0,1934408,5.16954024176906e-06,NA,NA
"143",2020-02-18,"Texas",48,2,0,28995881,6.89753141144427e-08,1.85714285714286,6.4048505963411e-08
"144",2020-02-18,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"145",2020-02-18,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"146",2020-02-19,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"147",2020-02-19,"California",6,7,0,39512223,1.77160368830678e-07,7,1.77160368830678e-07
"148",2020-02-19,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"149",2020-02-19,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"150",2020-02-19,"Nebraska",31,10,0,1934408,5.16954024176906e-06,NA,NA
"151",2020-02-19,"Texas",48,2,0,28995881,6.89753141144427e-08,2,6.89753141144427e-08
"152",2020-02-19,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"153",2020-02-19,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"154",2020-02-20,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"155",2020-02-20,"California",6,8,0,39512223,2.02468992949346e-07,7.14285714285714,1.80775886561916e-07
"156",2020-02-20,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"157",2020-02-20,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"158",2020-02-20,"Nebraska",31,11,0,1934408,5.68649426594596e-06,NA,NA
"159",2020-02-20,"Texas",48,2,0,28995881,6.89753141144427e-08,2,6.89753141144427e-08
"160",2020-02-20,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"161",2020-02-20,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"162",2020-02-21,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"163",2020-02-21,"California",6,9,0,39512223,2.27777617068015e-07,7.42857142857143,1.88006922024393e-07
"164",2020-02-21,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"165",2020-02-21,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"166",2020-02-21,"Nebraska",31,11,0,1934408,5.68649426594596e-06,NA,NA
"167",2020-02-21,"Texas",48,4,0,28995881,1.37950628228885e-07,2.28571428571429,7.88289304165059e-08
"168",2020-02-21,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"169",2020-02-21,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"170",2020-02-22,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"171",2020-02-22,"California",6,9,0,39512223,2.27777617068015e-07,7.71428571428571,1.9523795748687e-07
"172",2020-02-22,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"173",2020-02-22,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"174",2020-02-22,"Nebraska",31,11,0,1934408,5.68649426594596e-06,NA,NA
"175",2020-02-22,"Texas",48,4,0,28995881,1.37950628228885e-07,2.57142857142857,8.86825467185691e-08
"176",2020-02-22,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"177",2020-02-22,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
